KHID	KYID	Family_Name	Source
Gata2/3.35	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.36	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.37	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.38	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.39	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.40	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.41	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Hoxb2/3.44	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.45	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.46	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.47	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Isl1/2.4	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Isl1/2.5	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Isl1/2.6	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Isl1/2.7	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Barx1/2.8	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Barx1/2.9	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Barx1/2.10	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Six4.10	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.11	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Hoxc10/11.3	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.4	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.5	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.6	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.7	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.8	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxb2/3.48	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.49	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.50	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.51	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.52	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.53	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.54	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.55	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hmx1/3.7	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hmx1/3.8	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hmx1/3.9	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
KH.C10.174.26	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.27	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.28	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.29	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hoxb2/3.56	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.57	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.58	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.59	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.60	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.61	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.62	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.63	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.64	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.65	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.66	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six4.12	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.13	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.14	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.15	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Hoxb2/3.67	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.68	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.69	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.70	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.71	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.72	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.73	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.74	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.75	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.76	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.77	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.78	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.79	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.80	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
KH.C10.174.30	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.31	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.32	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.33	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Six3/4/6.9	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Six3/4/6.10	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Hoxc10/11.9	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Hoxc10/11.10	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
Nkx6-1/2/3.7	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Nkx6-1/2/3.8	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Nkx6-1/2/3.9	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Nkx6-1/2/3.10	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Isl1/2.8	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
Isl1/2.9	KH2013:KH.L152.2	KY2019:KY.Chr4.1318	Homeodomain	CisBP
KH.C10.174.34	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.35	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.36	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.37	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Nkx6-1/2/3.11	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
Nkx6-1/2/3.12	KH2013:KH.C5.502	KY2019:KY.Chr5.29	Homeodomain	CisBP
KH.C10.174.38	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.39	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hmx1/3.10	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hmx1/3.11	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Hmx1/3.12	KH2013:KH.C8.709	KY2019:KY.Chr8.969	Homeodomain	CisBP
Six4.16	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.17	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.18	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
Six4.19	KH2013:KH.C3.83	KY2019:KY.Chr3.1139	Homeodomain	CisBP
KH.C10.174.40	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
KH.C10.174.41	KH2013:KH.C10.174	KY2019:KY.Chr10.902	Homeodomain	CisBP
Hoxb2/3.81	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.82	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.83	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.84	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.85	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.86	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.87	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.88	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Six3/4/6.11	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Six3/4/6.12	KH2013:KH.C10.367	KY2019:KY.Chr10.279	Homeodomain	CisBP
Pbx1/2/3/4.6	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.7	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.8	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.9	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Hoxb2/3.89	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.90	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.91	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.92	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.93	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.94	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.95	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Hoxb2/3.96	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Pax6.19	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.20	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.21	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
Pax6.22	KH2013:KH.C9.68	KY2019:KY.Chr9.1034	Paired box	CisBP
KH.C10.150.22	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.23	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.24	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.25	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.26	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.27	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.28	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.29	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.30	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.31	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.32	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.33	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.34	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.35	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.36	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.37	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.38	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
KH.C10.150.39	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
Mef2d.4	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.5	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.6	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.7	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.8	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.9	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.10	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Mef2d.11	KH2013:KH.S455.6	KY2019:KY.Chr10.19	MADS box	CisBP
Nr5a1/2/5.16	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.17	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.18	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.19	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.20	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.21	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.22	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.23	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.24	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Nr5a1/2/5.25	KH2013:KH.C6.10	KY2019:KY.Chr6.223	Nuclear receptor	CisBP
Pou2f1/2.12	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.13	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.14	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.15	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.16	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Pou2f1/2.17	KH2013:KH.C12.116	KY2019:KY.Chr12.443	Paired box	CisBP
Rfx/1/2/3.28	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.29	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.30	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.31	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.32	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.33	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.34	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.35	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.36	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Rfx/1/2/3.37	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Runx1/2/3.13	KH2013:KH.C12.38	KY2019:KY.Chr12.824	Runt	CisBP
Runx1/2/3.14	KH2013:KH.C12.38	KY2019:KY.Chr12.824	Runt	CisBP
Runx1/2/3.15	KH2013:KH.C12.38	KY2019:KY.Chr12.824	Runt	CisBP
Runx1/2/3.16	KH2013:KH.C12.38	KY2019:KY.Chr12.824	Runt	CisBP
Gmeb1/2.15	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Gmeb1/2.16	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Gmeb1/2.17	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Gmeb1/2.18	KH2013:KH.C14.455	KY2019:KY.Chr14.492	SAND	CisBP
Nfic.8	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Nfic.9	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Nfic.10	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Nfic.11	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Nfic.12	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Nfic.13	KH2013:KH.C5.641	KY2019:KY.Chr5.326	SMAD	CisBP
Tcf7l1/2.9	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.10	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.11	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.12	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Cic.2	KH2013:KH.C4.739	KY2019:KY.Chr4.472	Sox	CisBP
Cic.3	KH2013:KH.C4.739	KY2019:KY.Chr4.472	Sox	CisBP
Tcf7l1/2.13	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.14	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.15	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.16	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.17	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.18	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.19	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.20	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.21	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.22	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.23	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.24	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tbx20.10	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.11	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.12	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.13	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx2/3.11	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx2/3.12	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx2/3.13	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx2/3.14	KH2013:KH.L96.87	KY2019:KY.Chr4.1104	T-box	CisBP
Tbx19.3	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx19.4	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx19.5	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx19.6	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx19.7	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx19.8	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	CisBP
Tbx20.14	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.15	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.16	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.17	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.18	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.19	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.20	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tbx20.21	KH2013:KH.C1.224	KY2019:KY.Chr1.1392	T-box	CisBP
Tead1/3/4.8	KH2013:KH.C14.426	KY2019:KY.Chr14.573	TEA	CisBP
Tead1/3/4.9	KH2013:KH.C14.426	KY2019:KY.Chr14.573	TEA	CisBP
Tead1/3/4.10	KH2013:KH.C14.426	KY2019:KY.Chr14.573	TEA	CisBP
Tead1/3/4.11	KH2013:KH.C14.426	KY2019:KY.Chr14.573	TEA	CisBP
Jun.21	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Jun.22	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Jun.23	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Jun.24	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Jun.25	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Jun.26	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Zic1/2/3.1	KH2013:KH.C1.727	KY2019:KY.Chr1.1698	Zinc finger	CisBP
Foxp1/2/4.3	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	CisBP
Gata2/3.42	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Hoxc10/11.11	KH2013:KH.C1.414	KY2019:KY.Chr1.525	Homeodomain	CisBP
KH.C10.150.40	KH2013:KH.C10.150	KY2019:KY.Chr10.303	Paired box	CisBP
Rfx/1/2/3.38	KH2013:KH.C5.399	KY2019:KY.Chr5.751	RFX	CisBP
Smad4	KH2013:KH.C6.117	KY2019:KY.Chr6.342	SMAD	CisBP
Tcf7l1/2.25	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tcf7l1/2.26	KH2013:KH.C6.71	KY2019:KY.Chr6.60	Sox	CisBP
Tfap4.14	KH2013:KH.C14.448	KY2019:KY.Chr14.930	bHLH	CisBP
Arnt/2.3	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.4	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.5	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.6	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.7	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.8	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.9	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Arnt/2.10	KH2013:KH.C5.213	KY2019:KY.Chr5.617	bHLH	CisBP
Mafg/1/2.7	KH2013:KH.C12.343	KY2019:KY.Chr12.534	bZIP	CisBP
Jun.27	KH2013:KH.C5.610	KY2019:KY.Chr5.536	bZIP	CisBP
Creb3l1/2.29	KH2013:KH.L108.4	KY2019:KY.Chr2.2188	bZIP	CisBP
Zic1/2/3.2	KH2013:KH.C1.727	KY2019:KY.Chr1.1698	Zinc finger	CisBP
Zic1/2/3.3	KH2013:KH.C1.727	KY2019:KY.Chr1.1698	Zinc finger	CisBP
Dmrta1/2.2	KH2013:KH.S544.3	KY2019:KY.Chr5.698	DM	CisBP
Dmrta1/2.3	KH2013:KH.S544.3	KY2019:KY.Chr5.698	DM	CisBP
Foxp1/2/4.4	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	CisBP
Foxp1/2/4.5	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	CisBP
Foxp1/2/4.6	KH2013:KH.C7.207	KY2019:KY.Chr7.474	Forkhead	CisBP
Gata2/3.43	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.44	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Gata2/3.45	KH2013:KH.S696.1	KY2019:KY.Chr4.1344	Zinc finger	CisBP
Barx1/2.11	KH2013:KH.S765.3	KY2019:KY.Chr1.2598	Homeodomain	CisBP
Hoxb2/3.97	KH2013:KH.L132.17	KY2019:KY.Chr1.2558	Homeodomain	CisBP
Cdx1/2/4.9	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	CisBP
Cdx1/2/4.10	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	CisBP
Cdx1/2/4.11	KH2013:KH.C14.408	KY2019:KY.Chr14.625	Homeodomain	CisBP
Pbx1/2/3/4.10	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.11	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
Pbx1/2/3/4.12	KH2013:KH.S215.9	KY2019:KY.Chr13.445	Homeodomain	CisBP
